busname,bustype,Departing_time,Reaching_time,Duration,Price,rating,seats_available
Jabbar Travels,VE A/C Sleeper (2+1),19:00,00:30,05h 30m,650,3.8,28 Seats available
CHOPPA TRAVELS,NON A/C Sleeper (2+1),21:00,03:30,06h 30m,499,4.1,18 Seats available
Sri Vengamamba Bus Transport(SVBT),A/C Sleeper (2+1),20:00,01:15,05h 15m,700,3.7,24 Seats available
Shree Manikanta Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),15:30,20:20,04h 50m,699,3.6,28 Seats available
GreenLine Travels And Holidays,Non A/C Seater / Sleeper (2+1),22:00,04:00,06h 00m,530,3.4,32 Seats available
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),12:25,18:48,06h 23m,350,3.7,31 Seats available
KTC Travels,A/C Seater / Sleeper (2+1),22:30,04:45,06h 15m,400,3.3,30 Seats available
Varsha Travels,A/C Sleeper (2+1),22:30,04:15,05h 45m,1999,3.8,36 Seats available
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),22:45,04:33,05h 48m,390,3.1,33 Seats available
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),09:00,15:23,06h 23m,250,4.2,30 Seats available
Butterfly Holidays,VE A/C Sleeper (2+1),20:30,04:00,07h 30m,6999,4.3,27 Seats available
FlixBus,VE A/C Sleeper (2+1),00:50,05:20,04h 30m,320.54,4.1,4 Seats available
Kamakshi Tours And Travels,A/C Sleeper (2+1),20:30,02:00,05h 30m,700,3.9,23 Seats available
Rajeswari Travels,A/C Sleeper (2+1),21:15,04:05,06h 50m,750,3.6,24 Seats available
RK Travels,Non A/C Seater / Sleeper (2+1),20:10,02:46,06h 36m,499,3.4,31 Seats available
Balaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),19:00,03:00,08h 00m,1500,3.0,1 Seat available
National travels,Bharat Benz A/C Sleeper (2+1),22:00,04:00,06h 00m,500,3.0,28 Seats available
JTS Tours and Travels,A/C Sleeper (2+1),23:30,03:59,04h 29m,540,2.5,18 Seats available
JTS Tours and Travels,A/C Sleeper (2+1),22:30,03:59,05h 29m,540,1.6,19 Seats available
Sri Venkataramana Travels,Non A/C Seater / Sleeper (2+1),20:00,02:30,06h 30m,567,1.0,32 Seats available
Dream Line Travels Pvt Ltd,A/C Sleeper (2+1),22:30,02:30,04h 00m,703,2.4,18 Seats available
Svkdt travels,A/C Sleeper (2+1),19:30,23:45,04h 15m,750,2.8,20 Seats available
Bharathi Travels,A/C Sleeper (2+1),23:55,05:00,05h 05m,495,2.0,21 Seats available
Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),19:30,01:30,06h 00m,649,2.6,21 Seats available
Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),19:00,23:30,04h 30m,409,2.6,37 Seats available
Svkdt travels,A/C Sleeper (2+1),22:00,02:00,04h 00m,750,2.5,25 Seats available
Chaitra Sri Travels,Non A/C Seater / Sleeper (2+1),18:30,00:50,06h 20m,500,1.3,30 Seats available
SRKT Travels,A/C Seater / Sleeper (2+1),19:15,23:55,04h 40m,650,1.9,28 Seats available
RK Travels,Non A/C Seater / Sleeper (2+1),20:25,03:01,06h 36m,350,2.5,22 Seats available
Svkdt travels,A/C Sleeper (2+1),17:00,21:45,04h 45m,562,2.4,26 Seats available
RK Travels,Non A/C Seater / Sleeper (2+1),20:30,04:00,07h 30m,350,2.9,22 Seats available
Vihari Travels,A/C Seater/Sleeper (2+1),22:00,03:00,05h 00m,409,2.6,33 Seats available
Komitla Trans lines.,A/C Sleeper (2+1),21:00,03:00,06h 00m,699,1.9,27 Seats available
Chaitra Sri Travels,NON A/C Sleeper (2+1),19:15,01:45,06h 30m,699,1.3,25 Seats available
RDS Travels,NON A/C Sleeper (2+1),22:30,04:15,05h 45m,3999,2.9,36 Seats available
Manis Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),10:45,16:20,05h 35m,999,2.9,49 Seats available
Rajesh Transports,A/C Volvo B11R Multi-Axle Sleeper (2+1),23:20,03:30,04h 10m,999,4.5,29 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),21:15,04:15,07h 00m,820,3.9,30 Seats available
Rajesh Transports,A/C Volvo B11R Multi-Axle Sleeper (2+1),22:30,02:00,03h 30m,1080,4.8,32 Seats available
Rajesh Transports,A/C Sleeper (2+1),23:20,03:25,04h 05m,900,4.5,22 Seats available
Rajesh Transports,NON A/C Sleeper (2+1),15:30,20:00,04h 30m,1544,4.4,17 Seats available
Navayuga Travels,A/C Sleeper (2+1),16:20,21:15,04h 55m,830,4.2,26 Seats available
Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),17:00,22:00,05h 00m,1109,4.3,11 Seats available
Shree Manikanta Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),16:30,21:20,04h 50m,849,3.5,29 Seats available
Intercity travels,A/C Sleeper (2+1),22:30,03:30,05h 00m,799,4.5,26 Seats available
CCC Bus,A/C Sleeper (2+1),21:45,01:30,03h 45m,899,4.0,28 Seats available
Green Line Travels And Holidays Premium Business Class,VE Executive A/C Sleeper (1+1),23:00,04:00,05h 00m,1350,4.7,17 Seats available
Rajesh Transports,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:00,23:25,04h 25m,1010,4.2,24 Seats available
Rajesh Transports,A/C Sleeper (2+1),16:00,20:45,04h 45m,1675,4.0,26 Seats available
Shyamoli Paribahan Pvt Ltd,A/C Sleeper (2+1),17:10,22:20,05h 10m,810,4.5,21 Seats available
Sohan Tours & Travels,Bharat Benz A/C Sleeper (2+1),21:30,03:00,05h 30m,890,5.0,25 Seats available
Intercity travels,Bharat Benz A/C Sleeper (2+1),19:35,23:59,04h 24m,1011,4.5,19 Seats available
Zingbus Plus,Scania AC Multi Axle Sleeper (2+1),21:40,02:15,04h 35m,788,3.7,31 Seats available
Rajesh Transports,A/C Volvo B11R Multi-Axle Sleeper (2+1),22:30,02:30,04h 00m,1525,4.5,31 Seats available
IntrCity SmartBus,AC Sleeper (2+1),20:25,00:40,04h 15m,769,4.7,30 Seats available
Rajesh Transports,A/C Sleeper (2+1),18:15,22:40,04h 25m,1575,3.6,28 Seats available
Sri Tulasi Tours and Travels,A/C Sleeper (2+1),17:30,22:30,05h 00m,1290,4.2,18 Seats available
Sri Keerthana Sai Travels,A/C Sleeper (2+1),17:30,21:45,04h 15m,1199,4.2,30 Seats available
GreenLine Travels And Holidays,VE A/C Sleeper (2+1),22:30,04:00,05h 30m,900,4.5,22 Seats available
Rajesh Transports,NON A/C Sleeper (2+1),20:30,00:27,03h 57m,1255,3.4,29 Seats available
IRA Travels,A/C Sleeper (2+1),19:45,23:59,04h 14m,810,3.6,21 Seats available
Khushi Tourist,A/C Sleeper (2+1),22:30,04:00,05h 30m,3999,4.4,32 Seats available
Rajesh Transports,Volvo 9600 Multi-Axle A/C Sleeper (2+1),17:00,21:30,04h 30m,1509,4.4,30 Seats available
Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:00,23:30,04h 30m,949,4.4,23 Seats available
Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:45,23:59,04h 14m,809,4.2,19 Seats available
Sri Tulasi Tours and Travels,A/C Sleeper (2+1),14:30,20:00,05h 30m,1100,4.2,19 Seats available
CHOPPA TRAVELS,A/C Sleeper (2+1),21:00,03:45,06h 45m,799,4.1,22 Seats available
Vega Bus,A/C Sleeper (2+1),22:10,03:50,05h 40m,2375,3.4,28 Seats available
Sai Vijetha Travels,Non A/C Seater / Sleeper (2+1),21:00,04:00,07h 00m,2850,0.0,52 Seats available
VRL Travels,Volvo Multi-Axle A/C Sleeper (2+1),17:00,21:00,04h 00m,1600,3.5,35 Seats available
Jagan Travels,A/C Sleeper (2+1),19:00,23:45,04h 45m,810,3.5,28 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),20:45,21:30,24h 45m,1999,3.5,24 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),23:15,04:30,05h 15m,900,3.3,30 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),20:45,03:00,06h 15m,4999,3.4,30 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),20:00,02:30,06h 30m,4999,3.4,30 Seats available
GreenLine Travels And Holidays,A/C Sleeper (2+1),20:15,02:15,06h 00m,4999,3.4,30 Seats available
GRV Yatrikha LLP,Scania AC Multi Axle Sleeper (2+1),22:30,03:00,04h 30m,799,3.8,13 Seats available
Jaishree Travels,Bharat Benz A/C Sleeper (2+1),16:00,20:40,04h 40m,6000,3.3,36 Seats available
National travels,VE A/C Sleeper (2+1),20:30,03:30,07h 00m,800,3.0,32 Seats available
KTC Travels,Non A/C Seater / Sleeper (2+1),22:00,04:30,06h 30m,1500,3.0,44 Seats available
Sri Krishna Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:30,02:00,04h 30m,900,3.0,27 Seats available
